Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,8900.000000,8900.000000,8680.000000,8700.000000,7348.121582,7403000
2018-12-18,8700.000000,8800.000000,8535.000000,8790.000000,7424.137207,7689000
2018-12-19,8780.000000,9000.000000,8780.000000,9000.000000,7601.504395,14906000
2018-12-20,8900.000000,9050.000000,8785.000000,9050.000000,7643.736328,8704500
2018-12-21,9000.000000,9320.000000,8960.000000,9320.000000,7871.782227,17106000
2018-12-24,9320.000000,9320.000000,9320.000000,9320.000000,7871.782227,0
2018-12-25,9320.000000,9320.000000,9320.000000,9320.000000,7871.782227,0
2018-12-26,9200.000000,9320.000000,9005.000000,9105.000000,7690.187988,7617000
2018-12-27,9220.000000,9320.000000,9155.000000,9320.000000,7871.782227,10728500
2018-12-28,9300.000000,9360.000000,9080.000000,9080.000000,7669.074707,9755500
2018-12-31,9080.000000,9080.000000,9080.000000,9080.000000,7669.074707,0
2019-01-01,9080.000000,9080.000000,9080.000000,9080.000000,7669.074707,0
2019-01-02,9085.000000,9350.000000,9085.000000,9280.000000,7837.996582,9111000
2019-01-03,9280.000000,9500.000000,9275.000000,9500.000000,8023.810059,11008000
2019-01-04,9490.000000,9560.000000,9400.000000,9560.000000,8074.487793,4863500
2019-01-07,9600.000000,9840.000000,9600.000000,9720.000000,8209.625000,10195500
2019-01-08,9720.000000,9720.000000,9305.000000,9470.000000,7998.474121,16261000
2019-01-09,9475.000000,9600.000000,9200.000000,9200.000000,7770.428223,10060500
2019-01-10,9280.000000,9665.000000,9255.000000,9665.000000,8163.169922,12351000
2019-01-11,9660.000000,9690.000000,9440.000000,9690.000000,8184.287598,10777000
2019-01-14,9660.000000,9710.000000,9540.000000,9710.000000,8201.179688,8833500
2019-01-15,9765.000000,9960.000000,9760.000000,9960.000000,8412.333008,11469500
2019-01-16,9960.000000,9970.000000,9565.000000,9585.000000,8095.604004,17816500
2019-01-17,9660.000000,9800.000000,9660.000000,9775.000000,8256.079102,8912500
2019-01-18,9730.000000,9785.000000,9605.000000,9785.000000,8264.525391,10810000
2019-01-21,9795.000000,9820.000000,9725.000000,9750.000000,8234.963867,6446500
2019-01-22,9750.000000,9830.000000,9750.000000,9810.000000,8285.641602,8455500
2019-01-23,9820.000000,9820.000000,9700.000000,9790.000000,8268.750000,7077500
2019-01-24,9790.000000,9815.000000,9765.000000,9815.000000,8289.862305,8645500
2019-01-25,9815.000000,9820.000000,9700.000000,9810.000000,8285.641602,7809500
2019-01-28,9800.000000,9800.000000,9500.000000,9555.000000,8070.266113,13522500
2019-01-29,9555.000000,9725.000000,9520.000000,9520.000000,8040.703125,10453000
2019-01-30,9640.000000,9830.000000,9640.000000,9815.000000,8289.862305,16914000
2019-01-31,9970.000000,10000.000000,9860.000000,10000.000000,8446.116211,29132500
2019-02-01,10000.000000,10000.000000,9965.000000,10000.000000,8446.116211,9109000
2019-02-04,10000.000000,10010.000000,9700.000000,9780.000000,8260.302734,8699000
2019-02-05,9780.000000,9780.000000,9780.000000,9780.000000,8260.302734,0
2019-02-06,9800.000000,9980.000000,9800.000000,9975.000000,8425.001953,8369000
2019-02-07,9975.000000,9975.000000,9880.000000,9945.000000,8399.663086,4857500
2019-02-08,9925.000000,9965.000000,9800.000000,9965.000000,8416.556641,5335000
2019-02-11,9960.000000,9960.000000,9775.000000,9775.000000,8256.079102,5718000
2019-02-12,9780.000000,9940.000000,9780.000000,9820.000000,8294.087891,6486000
2019-02-13,9820.000000,9865.000000,9780.000000,9850.000000,8319.425781,8230000
2019-02-14,9840.000000,9840.000000,9775.000000,9775.000000,8256.079102,5928500
2019-02-15,9700.000000,9720.000000,9600.000000,9600.000000,8108.273438,8939000
2019-02-18,9600.000000,9940.000000,9585.000000,9885.000000,8348.986328,8248000
2019-02-19,9860.000000,9945.000000,9740.000000,9860.000000,8327.870117,8475500
2019-02-20,10000.000000,10025.000000,9980.000000,10005.000000,8450.340820,18266500
2019-02-21,9990.000000,9990.000000,9790.000000,9905.000000,8365.878906,7230500
2019-02-22,9910.000000,9920.000000,9810.000000,9900.000000,8361.656250,6609000
2019-02-25,9970.000000,9970.000000,9765.000000,9765.000000,8247.633789,6915000
2019-02-26,9800.000000,9995.000000,9760.000000,9995.000000,8441.894531,7338500
2019-02-27,9900.000000,9955.000000,9760.000000,9800.000000,8277.194336,8259500
2019-02-28,9880.000000,9890.000000,9735.000000,9735.000000,8222.294922,13420000
2019-03-01,9815.000000,9920.000000,9775.000000,9810.000000,8285.641602,10601500
2019-03-04,9810.000000,9815.000000,9760.000000,9800.000000,8277.194336,5538000
2019-03-05,9800.000000,9800.000000,9680.000000,9730.000000,8218.071289,4664500
2019-03-06,9800.000000,9820.000000,9780.000000,9780.000000,8260.302734,4931500
2019-03-07,9780.000000,9780.000000,9780.000000,9780.000000,8260.302734,0
2019-03-08,9780.000000,9780.000000,9600.000000,9620.000000,8125.166016,6789000
2019-03-11,9750.000000,9750.000000,9610.000000,9610.000000,8116.718750,3792500
2019-03-12,9685.000000,9800.000000,9670.000000,9800.000000,8277.194336,5973000
2019-03-13,9800.000000,9900.000000,9760.000000,9890.000000,8353.209961,6034000
2019-03-14,9990.000000,9990.000000,9845.000000,9930.000000,8386.995117,2794000
2019-03-15,9840.000000,9990.000000,9820.000000,9960.000000,8412.333008,6909500
2019-03-18,9980.000000,9980.000000,9830.000000,9900.000000,8361.656250,2775000
2019-03-19,9970.000000,9970.000000,9835.000000,9845.000000,8315.202148,2173500
2019-03-20,9855.000000,9920.000000,9810.000000,9900.000000,8361.656250,3830000
2019-03-21,9940.000000,9940.000000,9770.000000,9815.000000,8289.862305,4658500
2019-03-22,9885.000000,9900.000000,9815.000000,9830.000000,8302.532227,2706000
2019-03-25,9845.000000,9855.000000,9700.000000,9700.000000,8192.733398,5126000
2019-03-26,9700.000000,9840.000000,9650.000000,9650.000000,8150.503906,2225500
2019-03-27,9660.000000,9765.000000,9655.000000,9760.000000,8243.412109,2002000
2019-03-28,9800.000000,9840.000000,9670.000000,9840.000000,8310.978516,2972500
2019-03-29,9900.000000,9900.000000,9765.000000,9840.000000,8310.978516,5046000
2019-04-01,9845.000000,9855.000000,9785.000000,9850.000000,8319.425781,3215000
2019-04-02,9890.000000,9890.000000,9835.000000,9875.000000,8340.540039,3642000
2019-04-03,9875.000000,9875.000000,9875.000000,9875.000000,8340.540039,0
2019-04-04,9860.000000,9860.000000,9770.000000,9795.000000,8272.972656,2120000
2019-04-05,9770.000000,9800.000000,9715.000000,9755.000000,8239.187500,2670500
2019-04-08,9805.000000,9850.000000,9615.000000,9650.000000,8150.503906,4217500
2019-04-09,9720.000000,9800.000000,9690.000000,9795.000000,8272.972656,3271500
2019-04-10,9800.000000,9830.000000,9740.000000,9820.000000,8294.087891,3713000
2019-04-11,9780.000000,9785.000000,9725.000000,9730.000000,8218.071289,3010000
2019-04-12,9700.000000,9820.000000,9690.000000,9820.000000,8294.087891,3001500
2019-04-15,9890.000000,9890.000000,9755.000000,9760.000000,8243.412109,8603000
2019-04-16,9825.000000,9890.000000,9720.000000,9880.000000,8344.762695,9376000
2019-04-17,9880.000000,9880.000000,9880.000000,9880.000000,8344.762695,0
2019-04-18,10100.000000,10105.000000,9800.000000,9880.000000,8344.762695,11425000
